BOULLÉE Etienne ;Boullée, Étienne-Louis;;1728;1799;French;architect;24651533;;;1795;1799;IV;Architecture;III;Étienne-Louis Boullée;http://commons.wikimedia.org/wiki/Category:%C3%89tienne-Louis_Boull%C3%A9e?uselang=fr
de WAILLY Charles ;de Wailly, Charles ;;1729;1798;;;17309164;;;1795;1798;V;Architecture;III;Charles De Wailly;http://commons.wikimedia.org/wiki/Category:Charles_De_Wailly
DEJOUX Claude ;DEJOUX Claude ;;1731;1816;;;;;;1795;1816;III;Sculpture;II;;
GONDOIN Jacques ;GONDOIN Jacques ;;1737;1818;;;;;;1795;1818;I;Architecture;III;;
GOSSEC François ;GOSSEC François ;;1733;1829;;;;;;1795;1829;II;Composition Music;V;;
GRÉTRY André ;GRÉTRY André ;;1741;1813;;;;;;1795;1813;III;Composition Music;V;;
HOUDON Jean ;HOUDON Jean ;;1741;1828;;;;;;1795;1828;II;Sculpture;II;;
MÉHUL Nicolas ;MÉHUL Nicolas ;;1763;1817;;;;;;1795;1817;I;Composition Music;V;;
PARIS Pierre ;PARIS Pierre ;;1745;1819;;;;;;1795;1819;III;Architecture;III;;
PEYRE Antoine ;PEYRE Antoine ;;1739;1823;;;;;;1795;1823;II;Architecture;III;;
RAYMOND Jean ;Raymond, Jean Arnaud;;1742;1811;French;architect;;500102637;http://www.getty.edu/vow/ULANFullDisplay?find=RAYMOND+Jean&role=&nation=&prev_page=1&subjectid=500102637;1795;1811;VI;Architecture;III;;
REGNAULT Jean-Baptiste ;Regnault, Jean-Baptiste;Baron;1754;1829;French; artist::painter::printmaker::history::subject::artist::teacher;;500028440;http://www.getty.edu/vow/ULANFullDisplay?find=REGNAULT+Jean-Baptiste&role=&nation=&prev_page=1&subjectid=500028440;1795;1829;III;Peinture;I;;
ROLAND Philippe ;Roland, Philippe-Laurent ;;1746;1816;;;;500022752;http://www.getty.edu/vow/ULANFullDisplay?find=ROLAND+Philippe&role=&nation=&prev_page=1&subjectid=500022752;1795;1816;I;Sculpture;II;;
TAUNAY Nicolas ;TAUNAY Nicolas ;;1755;1830;;;;;;1795;1830;IV;Peinture;I;;
VAN SPAENDONCK Gérard ;Spaendonck, Gerard van;;1746;1822;;;;500016009;http://www.getty.edu/vow/ULANFullDisplay?find=VAN+SPAENDONCK+G%C3%A9rard&role=&nation=&prev_page=1&subjectid=500016009;1795;1822;I;Peinture;I;;
VINCENT François ;VINCENT François ;;1746;1816;;;;;;1795;1816;II;Peinture;I;;
BERTON Henri ;BERTON Henri ;;1767;1844;;;;;;1796;1844;IV;Composition Music;V;;
DUFOURNY Léon ;DUFOURNY Léon ;;1754;1818;;;;;;1796;1818;III;Architecture;III;;
GRANDMÉNIL J-B. ;GRANDMÉNIL J-B. ;;1737;1816;;;;;;1796;1816;IV;Composition Music;V;;
ANTOINE Jacques ;ANTOINE Jacques ;;1733;1801;;;;;;1799;1801;IV;Architecture;III;;
CHALGRIN Jean-François ;CHALGRIN Jean-François ;;1739;1811;;;;;;1799;1811;V;Architecture;III;;
HEURTIER Jean-François ;HEURTIER Jean-François ;;1739;1811;;;;;;1801;1811;IV;Architecture;III;;
BERVIC Charles ;BERVIC Charles ;;1756;1822;;;;;;1803;1822;I;Gravure;IV;;
DAVID Louis ;DAVID Louis ;;1748;1825;;;;;;1803;1825;X;Peinture;I;;
DENON Vivant ;DENON Vivant ;;1747;1825;;;;;;1803;1825;V;Peinture;I;;
DUMAREST Rambert ;DUMAREST Rambert ;;1750;1806;;;;;;1803;1806;III;Gravure;IV;;
JEUFFROY Romain ;JEUFFROY Romain ;;1749;1826;;;;;;1803;1826;II;Gravure;IV;;
VISCONTI Ennius-Quirinus ;VISCONTI Ennius-Quirinus ;;1751;1818;;;;;;1803;1818;VI;Peinture;I;;
DUVIVIER Pierre ;DUVIVIER Pierre ;;1730;1819;;;;;;1806;1819;III;Gravure;IV;;
LEMOT François ;LEMOT François ;;1772;1827;;;;;;1809;1827;IV;Sculpture;II;;
MENAGEOT François ;MENAGEOT François ;;1744;1816;;;;;;1809;1816;VII;Peinture;I;;
HILBERT Georges ;HILBERT Georges ;;1900;1982;;;;;;1810;1982;IV;Sculpture;II;;
LECOMTE Félix ;LECOMTE Félix ;;1737;1817;;;;;;1810;1817;VI;Sculpture;II;;
FONTAINE Pierre ;FONTAINE Pierre ;;1762;1853;;;;;;1811;1853;VI;Architecture;III;;
PERCIER Charles ;PERCIER Charles ;;1764;1838;;;;;;1811;1838;V;Architecture;III;;
GÉRARD François ;GÉRARD François ;;1770;1837;;;;;;1812;1837;VIII;Peinture;I;;
MONSIGNY Pierre ;MONSIGNY Pierre ;;1773;1817;;;;;;1813;1817;III;Composition Music;V;;
BONNARD Jacques ;BONNARD Jacques ;;1765;1818;;;;;;1815;1818;VIII;Architecture;III;;
