http://www.aibl.fr/membres/academiciens-depuis-1663/;;;;;;;;;;
;;;;;;;;;;
"de 1663 à 1701 : une seule catégorie, celle de membre (M) ;";;;;;;;;;;
"de 1701 à 1793 : ont été retenues les catégories de membres honoraire (H), pensionnaire (P) et d’associé libre (AL) ; les deux premières correspondent à celles des membres actuels, la dernière à celle des associés étrangers ;";;;;;;;;;;
"de 1795 à 1816 : les différentes catégories de membres ont été fondues ensemble (M) ; s’y ajoutent des associés étrangers (AE) ;";;;;;;;;;;
"de 1816 à 1999 : trois catégories de membres : membre ordinaire (O), membre libre (L) et associé étranger (AE) ;";;;;;;;;;;
depuis 1999 : une seule catégorie, celle de membre (M), à laquelle s’adjoignent des associés étrangers (AE).;;;;;;;;;;
;;;;;;;;;;
FullName;VIAF Number;Pseudonym (dit);;;;;;;;
AKURGAL, Ekrem ;;;1911;Associés étrangers;1992;2002;;M=;Membre;Member
ALBERTINI, Eugène François ;;;1880;O;1938;1941;;H=;Membre honoraire;Honorary Member
ALEXANDRE, Charles, C. ;;;1797;O;1857;1871;;AE=;Associé libre;Associate (free)
 ALFÖLDI, Andreas ;;;1895;Associés étrangers;1948;1981;;L=;Membre libre;Member (free)
 AMANDRY, Pierre, Alfred ;;;1912;L;1972;2006;;O=;Membre ordinaire;
 AMARI, Michele ;;;1806;Associés étrangers;1871;1889;;;;
 AMAURY-DUVAL, Charles-Alexandre-Amaury;;Pineux;1760;M;1811;1838;;;;
 AMEILHON, Hubert-Pascal ;;;1730;Pensionnaire;1786;1811;;;;
 AMELOT, Antoine-Jean, marquis de CHAILLOU ;;;;H;1777;1795;;;;
 AMPÈRE, Jean-Jacques-Antoine ;;;1800;O;1842;1864;;;;
 ANQUETIL, Louis-Pierre ;;;1723;M;1795;1806;;;;
 ANQUETIL-DUPERRON, Abraham-Hyacinthe;;ANQUETIL;;Pensionnaire;1785;1805;;;;
 ANSELME, le Père Antoine ;;;1652;Pensionnaire;1715;1737;;;;
 ANSSE de VILLOISON, Jean-Baptiste-Gaspard d’ ;;;1750;Pensionnaire;1791;1805;;;;
 ANTIN, Pierre de PARDAILLAN de GONDRIN, abbé d’ ;;;1692;H;1720;1733;;;;
 ANTONELLI, le cardinal Léonard ;;;1730;Associés libres;1785;1811;;;;
 ANVILLE, Jean-Baptiste BOURGUIGNON d’ ;;;1697;Pensionnaire;1773;1782;;;;
 ARBOIS de JUBAINVILLE, Marie-Henry d’ ;;;1827;O;1884;1910;;;;
 ARGENSON, Marc-Pierre de VOYER, comte d’ ;;;1696;H;1749;1764;;;;
 ARGENSON, René-Louis de VOYER, marquis d’ ;;;1694;H;1733;1757;;;;
 ARNALDI, Girolamo ;;;1929;Associés étrangers;2000;;;;;
 ARTAUD, André-François-Marie ;;;1767;L;1835;1838;;;;
 ARTAUD de MONTOR, le chevalier Alexis-François ;;;1772;L;1830;1849;;;;
 ASCOLI, Graziadio, Isaia ;;;1829;Associés étrangers;1891;1907;;;;
 ASKEW, Antoine ;;;1722;Associés libres;1749;1772;;;;
 AUBERT, Marcel, Georges ;;;1884;O;1934;1962;;;;
