;http://www.asmp.fr/presentation/academiciens.htm;;;;;;;;;;;;;;;;;
;Full Name;VIAF;VIAF URL;URL www.asmp.fr;Birth Year;Death Year;Also Known As;Start Day;End Date;Seat;Section;Section Number;WikiName;Wiki URL;;;;
;Destutt de Tracy, Antoine Louis Claude, comte;14781008;http://viaf.org/viaf/14781008;;1754;1836;;1832;1836;1;Philosophie;I;;;;;;
;Gérando, Joseph-Marie, baron de;98817646 ;http://viaf.org/viaf/98817646;;1772;1842;;1832;1842;2;Philosophie;I;;;;;;
;Cousin, Victor;61544271;http://viaf.org/viaf/61544271;;1792;1867;;1832;1867;3;Philosophie;I;;;;;;
;Laromiguière, Pierre;56661529;http://viaf.org/viaf/56661529;;1756;1837;;1832;1837;4;Philosophie;I;;;;;;
;William-Frederick EDWARDS;;;;;;;1832;;5;Philosophie;I;;;;;;
;Broussais, François Joseph Victor;76335228;http://viaf.org/viaf/76335228;;1772;1838;;1832;1838;6;Philosophie;I;;;;;;
;Daunou, Pierre-Claude-François;64115516;http://viaf.org/viaf/64115516;;1761;1840;;1832;1840;1;Législation, droit public et jurisprudence;II;;;;;;
;Merlin, Philippe-Antoine;27143563;http://viaf.org/viaf/27143563;;1754;1838;;1832;1838;2;Législation, droit public et jurisprudence;II;;;;;;
;Dupin, André-Marie-Jean-Jacques;54165929;http://viaf.org/viaf/54165929;;1783;1865;;1832;1865;3;Législation, droit public et jurisprudence;II;;;;;;
;Bassano, Hugues-Bernard Maret;56723166;http://viaf.org/viaf/56723166;;1763;1839;;1832;1839;4;Législation, droit public et jurisprudence;II;;;;;;
;Be_renger, Alphonse-Marie-Marcellin-Thomas;32057670;http://viaf.org/viaf/32057670;;1785;1866;Bérenger de la DRÔME;1832;1866;5;Législation, droit public et jurisprudence;II;;;;;;
;Sime_on, Joseph-Je_ro_me;61657154;http://viaf.org/viaf/61657154;;1749;1842;;1832;1842;6;Législation, droit public et jurisprudence;II;;;;;;
;Sieyès, Emmanuel Joseph, comte;59101071;http://viaf.org/viaf/59101071;http://www.asmp.fr/fiches_academiciens/decede/SIEYES.htm;1748;1836;;1832;1836;1;Économie politique et statistique;III;;;;;;
;Talleyrand-Périgord, Charles-Maurice de;100212837;http://viaf.org/viaf/100212837;http://www.asmp.fr/fiches_academiciens/decede/TALLEYRAND.htm;1754;1838;;1832;1838;2;Économie politique et statistique;III;;;;;;
;Dupin, Charles;66507859;http://viaf.org/viaf/66507859;http://www.asmp.fr/fiches_academiciens/decede/DUPIN.htm;1784;1873;;1832;1873;4;Économie politique et statistique;III;;;;;;
;Villermé, Louis René;24609091;http://viaf.org/viaf/24609091;;1782;1863;;1832;1863;5;Économie politique et statistique;III;;;;;;
;Comte, Charles;122323217;http://viaf.org/viaf/122323217;;1782;1837;;1832;1837;6;Économie politique et statistique;III;;;;;;
;Pastoret, Claude Emmanuel Joseph Pierre, marquis de;34566988;http://viaf.org/viaf/34566988;;1755;1840;Marquis de Pastoret;1832;1840;1;Histoire générale et philosophique;V;;;;;;
;Reinhard, Karl Friedrich;22936895;http://viaf.org/viaf/22936895;;1761;1837;Comte Carl REINHARD;1832;1837;2;Histoire générale et philosophique;V;;;;;;
;Bignon, Louis-Pierre-Edouard, baron;27814971;http://viaf.org/viaf/27814971;;1771;1841;Baron;1832;1841;4;Histoire générale et philosophique;V;;;;;;
;Guizot, François;29600143;http://viaf.org/viaf/29600143;;1787;1874;;1832;1874;5;Histoire générale et philosophique;V;;;;;;
;Mignet, Franc_ois-Auguste Alexis;12385832;http://viaf.org/viaf/12385832;;1796;1884;;1832;1884;6;Histoire générale et philosophique;V;;;;;;
;Feuillet, Laurent-Franc_ois;89782990;http://viaf.org/viaf/89782990;;1768;1843;;1833;1843;1;Membres libres;VI;;;;;;
;Broglie, Victor de;100176986;http://viaf.org/viaf/100176986;;1785;1870;Duc;1833;1870;2;Membres libres;VI;;;;;;
François CARNOT;Carnot, Joseph-François-Claude;2605067;http://viaf.org/viaf/2605067;;1752;1835;;1833;1835;3;Membres libres;VI;Joseph;François;Claude_Carnot;http://fr.wikipedia.org/wiki/Joseph;Fran%C3%A7ois;Claude_Carnot
;Benoiston de Châteauneuf, Louis-François;9960221;http://viaf.org/viaf/9960221;;1776;1856;;1833;1856;4;Membres libres;VI;;;;;;
;Blondeau, Jean-Baptiste-Hyacinthe;64752176;http://viaf.org/viaf/64752176;;1784;1854;;1833;1854;5;Membres libres;VI;;;;;;
;Jean-Philibert DAMIRONT;;;;;;;1836;;1;Philosophie;I;;;;;;
;Rossi, Pellegrino;64074105;http://viaf.org/viaf/64074105;http://www.asmp.fr/fiches_academiciens/decede/ROSSI.htm;1787;1884;;1836;1884;1;Économie politique et statistique;III;;;;;;
;Beaujour, Louis-Auguste-Fe_lix de;22138231;http://viaf.org/viaf/22138231;;1765;1836;Baron;1836;1836;3;Membres libres;VI;;;;;;
;Jouffroy, Théodore;7392039;http://viaf.org/viaf/7392039;;1796;1842;;1837;1842;4;Philosophie;I;;;;;;
;Portalis, Joseph-Marie;27163227;http://viaf.org/viaf/27163227;;1778;1858;Comte;1837;1858;3;Membres libres;VI;;;;;;
;Passy, Hippolyte;59182622;http://viaf.org/viaf/59182622;http://www.asmp.fr/fiches_academiciens/decede/PASSY_H.htm;1793;1880;;1838;1880;2;Économie politique et statistique;III;;;;;;
;Blanqui, Adolphe;106962398;http://viaf.org/viaf/106962398;;1798;1854;;1838;1854;6;Économie politique et statistique;III;;;;;;
;Michelet, Jules;41844048;http://viaf.org/viaf/41844048;;1798;1874;;1838;1874;2;Histoire générale et philosophique;V;;;;;;
;Barthélemy-Saint-Hilaire, Jules;31992507;http://viaf.org/viaf/31992507;;1805;1895;;1839;1895;6;Philosophie;I;;;;;;
;Portalis, Joseph-Marie;27163227;http://viaf.org/viaf/27163227;;;;Comte;1839;;2;Législation, droit public et jurisprudence;II;;;;;;
;Dutens, Joseph;64047546;http://viaf.org/viaf/64047546;;1765;1848;;1839;1848;3;Membres libres;VI;;;;;;
Charles-Théodore TROPLONG;;;;;;;;1840;;1;Législation, droit public et jurisprudence;II;;;;;;
Berriat SAINT-PRIX;Berriat-Saint-Prix, Jacques;46843428;http://viaf.org/viaf/46843428;;1769;1845;;1840;1845;4;Législation, droit public et jurisprudence;II;;;;;;
Adolphe THIERS;Thiers, Adolphe;71424155;http://viaf.org/viaf/71424155;;1797;1877;;1840;1877;1;Histoire générale et philosophique;V;;;;;;
Amédée THIERRY;Thierry, Amédée;36961903;http://viaf.org/viaf/36961903;;1797;1873;;1841;1873;4;Histoire générale et philosophique;V;;;;;;
Comte Charles de RÉMUSAT;Rémusat, Charles de;73859129;http://viaf.org/viaf/73859129;;1797;1875;Comte;1842;1875;4;Philosophie;I;;;;;;
Charles GIRAUD;Giraud, Charles;24650599;http://viaf.org/viaf/24650599;;1802;1881;;1842;1881;6;Législation, droit public et jurisprudence;II;;;;;;
Comte Tanneguy DUCHATEL;Ducha_tel, Tanneguy;27107675;http://viaf.org/viaf/27107675;http://www.asmp.fr/fiches_academiciens/decede/DUCHATEL.htm;1803;1867;Comte;1842;1867;3;Économie politique et statistique;III;;;;;;
Francisque LÉLUT;Le_lut, Louis Franc_ois;207380894;http://viaf.org/viaf/207380894;;1804;1877;;1844;1877;2;Philosophie;I;;;;;;
Adolphe FRANCK;Franck, Adolphe;76315648;http://viaf.org/viaf/76315648;;1809;1893;;1844;1893;5;Philosophie;I;;;;;;
Comte Antoine d'ARGOUT;Argout, Antoine Maurice Apollinaire d';55699981;http://viaf.org/viaf/55699981;;1782;1858;Comte;1844;1858;1;Membres libres;VI;;;;;;
Auguste VIVIEN;Vivien, Auguste;17286120;http://viaf.org/viaf/17286120;;1799;1854;;1845;1854;4;Législation, droit public et jurisprudence;II;;;;;;
Léon FAUCHER;Faucher, Léon;41946936;http://viaf.org/viaf/41946936;http://www.asmp.fr/fiches_academiciens/decede/FAUCHER.htm;;;;1849;;1;Économie politique et statistique;III;;;;;;
Alexandre MOREAU de JONNÈS;Moreau de Jonnès, Alexandre;56955126;http://viaf.org/viaf/56955126;;1778;1870;;1849;1870;3;Membres libres;VI;;;;;;
Michel CHEVALIER;Chevalier, Michel;51933;http://viaf.org/viaf/51933;;1806;1879;;1851;1879;5;Économie politique et statistique;III;;;;;;
Faustin HÉLIE;Hélie, Faustin;51769095;http://viaf.org/viaf/51769095;;1799;1884;;1855;1884;4;Législation, droit public et jurisprudence;II;;;;;;
Léonce GUILHAUD DE LAVERGNE;Lavergne, Léonce de;22254918;http://viaf.org/viaf/22254918;http://www.asmp.fr/fiches_academiciens/decede/GUILHAUD.htm;1809;1880;;1855;1880;1;Économie politique et statistique;III;;;;;;
Louis WOLOWSKI;Wolowski, Louis;76324471;http://viaf.org/viaf/76324471;;1810;1876;;1855;1876;6;Économie politique et statistique;III;;;;;;
Odilon BARROT;Barrot, Odilon;30277549;http://viaf.org/viaf/30277549;;1791;1873;;1855;1869;5;Membres libres;VI;;;;;;
Baron Jean-Jacques BAUDE;Baude, Jean-Jacques;45833974;http://viaf.org/viaf/45833974;;1792;1862;Baron;1856;1862;4;Membres libres;VI;;;;;;
Horace SAY;Say, Horace Émile;9913739;http://viaf.org/viaf/9913739;;1794;1860;;1857;1860;6;Membres libres;VI;;;;;;
Charles-Auguste PELLAT;Pellat, Charles Auguste;9837013;http://viaf.org/viaf/9837013;;1793;1871;;1858;1871;1;Membres libres;VI;;;;;;
JULIEN-LAFFERRIÈRE;Julien-Lafferrie_re, Xavier;146832078;http://viaf.org/viaf/146832078;;;;;1859;;2;Législation, droit public et jurisprudence;II;;;;;;
