Seat;Full Name;Title;Start Year;End Year;Profession;VIAF id;VIAF URL;Wikipedia URL;Full Name Wikipage;Notes
1;Pierre SŽguier;;1635;1643;politician and magistrate;41846468;http://viaf.org/viaf/41846468;http://en.wikipedia.org/wiki/Pierre_S%C3%A9guier;Pierre_SŽguier;
1;Claude Bazin de Bezons;;1643;1684;lawyer;5082515;http://viaf.org/viaf/5082515;http://en.wikipedia.org/wiki/Claude_Bazin_de_Bezons;Claude_Bazin_de_Bezons;
1;Nicolas Boileau-DesprŽaux;;1684;1711;poet;4948142;http://viaf.org/viaf/4948142;http://en.wikipedia.org/wiki/Nicolas_Boileau-Despr%C3%A9aux;Nicolas_Boileau-DesprŽaux;
1;Jean d'EstrŽes;;1711;1718;ecclesiastic and politician;56603748;http://viaf.org/viaf/56603748;http://en.wikipedia.org/wiki/Jean_d%27Estr%C3%A9es;Jean_d'EstrŽes;
1;Marc-RenŽ d'Argenson;;1718;1721;politician;17498209;http://viaf.org/viaf/17498209;http://en.wikipedia.org/wiki/Marc-Ren%C3%A9_de_Voyer_de_Paulmy_d%27Argenson_(1652%E2%80%931721);Marc-RenŽ_de_Voyer_de_Paulmy_d'Argenson_(1652Ð1721);
1;Jean-Joseph Languet de Gergy;;1721;1753;ecclesiastic;89176995;http://viaf.org/viaf/89176995;http://en.wikipedia.org/wiki/Jean-Joseph_Languet_de_Gergy;Jean-Joseph_Languet_de_Gergy;
1;Georges-Louis Leclerc;Comte de Buffon;1753;1788;essayist;36915547;http://viaf.org/viaf/36915547;http://en.wikipedia.org/wiki/Georges-Louis_Leclerc,_Comte_de_Buffon;Georges-Louis_Leclerc,_Comte_de_Buffon;
1;FŽlix Vicq-d'Azyr;;1788;1794;medical doctor;144856;http://viaf.org/viaf/144856;http://en.wikipedia.org/wiki/F%C3%A9lix_Vicq-d%27Azyr;FŽlix_Vicq-d'Azyr;
1;Franois-Urbain Domergue;;1803;1810;grammarian;69017648;http://viaf.org/viaf/69017648;http://en.wikipedia.org/wiki/Fran%C3%A7ois-Urbain_Domergue;Franois-Urbain_Domergue;
1;Ange-Franois Fariau;;1810;;poet and translator;64131302;http://viaf.org/viaf/64131302;http://en.wikipedia.org/wiki/Ange-Fran%C3%A7ois_Fariau;Ange-Franois_Fariau;
1;Franois-Auguste Parseval-Grandmaison;;1811;1834;poet;19669090;http://viaf.org/viaf/19669090;http://en.wikipedia.org/wiki/Fran%C3%A7ois-Auguste_Parseval-Grandmaison;Franois-Auguste_Parseval-Grandmaison;
1;Narcisse-Achille de Salvandy;;1835;1856;politician and historian;39510411;http://viaf.org/viaf/39510411;http://en.wikipedia.org/wiki/Narcisse-Achille_de_Salvandy;Narcisse-Achille_de_Salvandy;
1;ƒmile Augier;;1857;1889;poet and playwright;56644042;http://viaf.org/viaf/56644042;http://en.wikipedia.org/wiki/%C3%89mile_Augier;ƒmile_Augier;
