Full name (Google Translate)	Birth Day	Birth Month	Birth Year	Death Day	Death Month	Death Year	Specialty	Source	______ ___	____ ________	____ ______	_____________
Friedrich Hoffmann	19	2	1660	12	11	1742	Physician and chemist	http://www.isaran.ru/?q=ru/persostav	______ _____ ____________	01.01.1933	18.11.2005	__________ _ _______ _______ __________
Sloan (Sloan) Sir Hans	16	4	1660	11	1	1753	Medic	http://www.isaran.ru/?q=ru/persostav	_____ _________ _______	24.07.1821	24.01.1895	_______________ _______
Johann Bernoulli I	27	7	1667	1	1	1748	Mathematician	http://www.isaran.ru/?q=ru/persostav	________ ____ ___________	30.09.1937		__________ _ _______ ____________ _ ___________________ _____
Leytman Johann Georg (Leutmann Johann Georg)	30	11	1667	5	3	1736	Mechanics, optics, physics	http://www.isaran.ru/?q=ru/persostav	________ ______ _______	27.08.1930		__________ _ _______ _________ __________, ________ ________, _____________ __________ _ ________ ________
Michelotti Pietro Antonio	1	7	1673	1	2	1740	Medic	http://www.isaran.ru/?q=ru/persostav	_______ ______ ________	05.05.1930	02.05.2011	__________ _ _______ _________ _________, _______________ ________-_____________ _______ __________, __________ ______ ______________ _________
Marinoni Giovanni Giacomo	1	7	1676	10	1	1755	Mathematician, engineer and astronomer	http://www.isaran.ru/?q=ru/persostav	______ _____ ______ ____	31.07.1926	23.04.2012	__________ _ _______ __________ _____________ _____ _ ____
Johann Gabriel Doppelmayr	27	9	1677	1	12	1750	Mathematician	http://www.isaran.ru/?q=ru/persostav	_______ ______ ________	04.09.1928	04.02.1995	__________ _ _______ ________ ___________ ______
Herman Jacob (Jacob) (Herman Jacob)	16	7	1678	11	7	1733	Mathematician	http://www.isaran.ru/?q=ru/persostav	____________ _____ (Abderhalden Emil)	09.03.1877	05.08.1950	________, ________
Meran Jean-Jacques de Dort	26	11	1678	20	2	1771	Physicist and mathematician	http://www.isaran.ru/?q=ru/persostav	_________ _____ _____ _____ ____	20.08.1918	01.09.1993	__________ _ _______ ______ _______________
Christian von Wolff, Baron	24	1	1679	9	4	1754	Philosopher, mathematician and physicist	http://www.isaran.ru/?q=ru/persostav	_________ _____ ___________	31.08.1912	20.06.1962	______, _________
Gross Christopher (Christian Friedrich) (Gross Christian Friedrich)	1	7	1680	2	1	1742	Philosopher	http://www.isaran.ru/?q=ru/persostav	______ _____ __________	10.01.1928		__________ _ _______ ___________, _________
Angelo Maria Querini (Girolamo), Cardinal	30	3	1680	6	1	1759	Librarian	http://www.isaran.ru/?q=ru/persostav	_____ ______ (Abel Othenio)	20.06.1875	04.07.1946	___________
Giambattista Morgagni	25	2	1682	5	12	1771	Anatomist, physician	http://www.isaran.ru/?q=ru/persostav	____ ______ _____________ (______ __________) (___ ____ ____ _________ ______) (von Abich Otto Wilhelm Hermann)	11.12.1806	02.07.1886	______
Paulin Giovanni de Marquis	23	8	1683	14	11	1761	Astronomer	http://www.isaran.ru/?q=ru/persostav	____ ____ __________	07.11.1922		__________ _ _______ _______ ______
Rene de Reaumur Fersho Antoine	28	2	1683	17	10	1757	Naturalist, physicist	http://www.isaran.ru/?q=ru/persostav	_______ ______ __________	25.03.1957		__________ _ _______ __________ ________________ _ ______________ __________ (_________________ _______, ____________________ __________, ______ ______________ __________ _ ______________)
Johann Simon Beckenstein (Beckenstein Johann Simon)	22	2	1684	1	7	1742	Jurisprudent	http://www.isaran.ru/?q=ru/persostav	_________ _______ ________	07.08.1873	04.03.1955	_______ _______ __________ _ _____
Jacob Theodor Klein	15	8	1685	27	2	1759	Naturalist, zoologist	http://www.isaran.ru/?q=ru/persostav	_________ _______ __________	25.06.1928		__________ _ _______ ______ ________ ____
Burger (Birger Burger) Michael (Burger Michael)	1	7	1686	22	7	1726	Chemist, physician	http://www.isaran.ru/?q=ru/persostav	_________ _______ ________	18.01.1875	09.04.1955	_____, ______________
Lilienthal Michael (Michael)	8	9	1686	23	1	1750	Theologian and historian	http://www.isaran.ru/?q=ru/persostav	______ ________ _________	21.07.1907	16.11.1966	__________, ___________, __________ _ _______ __________ ________,
Jean Rousset de Missy	26	8	1686	1	8	1762	Writer	http://www.isaran.ru/?q=ru/persostav	________ _____ ________	14.02.1902	01.05.1982	________
Sigezbek Johann Georg (Siegesbeck Johann Georg)	22	3	1686	3	1	1755	Naturalist	http://www.isaran.ru/?q=ru/persostav	______ ________ __________	16.05.1915	11.10.1972	__________ _ _______ ___________ _ _______________ ________________ ________
Johann Heinrich Schulze	12	5	1687	10	10	1744	Medic	http://www.isaran.ru/?q=ru/persostav	__________ ________ _________	28.07.1920	14.04.2003	__________ _ _______ ____________ _______ _________ _ ___________ _______
Delisle Osip Nikolayevich (Joseph Nicolas) (Delisle Joseph-Nicolas)	4	4	1688	11	9	1768	Astronomer, geographer	http://www.isaran.ru/?q=ru/persostav	____ ____ ________	25.01.1927	01.03.1992	__________ _ _______ __________________ ______ _ ___________
Gobil Antoine (Father Anthony)	14	7	1689	24	7	1759	Astronomer, botanist	http://www.isaran.ru/?q=ru/persostav	_________ ______ ________	07.09.1835	04.09.1895	_____
De Gorter Yuhanes	19	2	1689	11	9	1762	Medic	http://www.isaran.ru/?q=ru/persostav	_______ ______ _________	29.05.1872	29.07.1944	_____-___________
Lengnih Gottfried (Gotfryd Lengnich)	4	12	1689	28	4	1774	Historian	http://www.isaran.ru/?q=ru/persostav	_________ ______ _________	10.12.1937	21.02.2004	__________ _ _______ _______ _ ______ __________
Christian Goldbach (Goldbach Christian)	18	3	1690	20	11	1764	Mathematician	http://www.isaran.ru/?q=ru/persostav	_________ ________ _____________	20.05.1952		__________ _ _______ ______ _ ________ _____________ _______ ______________ _________________ ___________ __________
Delisle de la Kroyer (Kruayer) Louis (Louis) (Delisle de la Croyere Louis)	1	7	1690	10	10	1741	Astronomer	http://www.isaran.ru/?q=ru/persostav	_______ ________ _____________	23.12.1907	26.02.1977	_______, __________ _ _______ _______-____________ ______
Henry Coon	19	11	1690	8	10	1769	Mathematician	http://www.isaran.ru/?q=ru/persostav	_______ _______ __________	11.07.1932		__________ _ _______ __________ ______ _____ _ ___________ _______
Libert (Libertus) Johann Christoph (Libert or Liebertus Johann Christophor)	1	7	1690	1	8	1757	Astronomer	http://www.isaran.ru/?q=ru/persostav	_____ ________ _____________	29.12.1906	30.11.1988	__________ _ _______ _________ _ ___________
Malyard Michael (A.)	1	7	1690	1	8	1750	Translator	http://www.isaran.ru/?q=ru/persostav	_____ ____ __________	29.07.1934		__________ _ _______ _________, ___________, ___________, ______ ________ _____, _________ ________ ____ _______
Flottvel Celestine Christian (Chretien)	1	7	1690	1	8	1759	Theologian	http://www.isaran.ru/?q=ru/persostav	_________ ________ _________	26.02.1955		__________ _ _______ _____________ _______ ________ _________, _______ _ ___________ _____________ _____
Duvernoy Johann Georg (Du Vernoi or Duvernoy Johann Georg)	1	6	1691	17	6	1759	Physician, anatomist, zoologist	http://www.isaran.ru/?q=ru/persostav	_________ _____ __________	21.05.1923	07.07.2001	__________ _ _______ _______ _____________-_________ ______, ________ _____________-_____________ _ _____________-___________ ___________ ______
Blumentrost Lawrence Lavrent'evich (German Laurentius Blumentrost)	29	10	1692	27	3	1755	Medic	http://www.isaran.ru/?q=ru/persostav	_________ ____ _______	08.10.1932		__________ _ _______ ___________ _____________ ____________, _______ __________________ _____, __________ _____, ______________, ____________, ___________
Mushenbruk (Myuskhenbruk) Peter van	14	3	1692	19	9	1761	Physicist, mathematician	http://www.isaran.ru/?q=ru/persostav	_______ ___-___-_______ (Agassiz, Jean Louis Rodolphe)	28.05.1807	14.12.1873	______, ______
Bradley (Bradley) James	25	3	1693	13	7	1762	Astronomer	http://www.isaran.ru/?q=ru/persostav	______ _______ (Evandro Agazzi)	02.10.1934		_______, __________ _ _______ _________ _____ _ ___________ ____________
